ID,Müşteri Talebi,Banka Yanıtı
1,Hesap bakiyemi yanlış görüyorum.,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
2,Hesap bakiyemi yanlış görüyorum.,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
3,Hesap bakiyemi yanlış görüyorum.,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
4,Kredi başvurum neden reddedildi?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
5,"ATM'de para sıkıştı, nasıl geri alırım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
6,"Ödemem iki kez çekildi, nasıl iade alırım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
7,"ATM'de para sıkıştı, nasıl geri alırım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
8,Kredi kartı borcumu nasıl yapılandırabilirim?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
9,Kredi kartı borcumu nasıl yapılandırabilirim?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
10,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
11,Dijital bankacılık uygulamanızda bir hata alıyorum.,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
12,"Ödemem iki kez çekildi, nasıl iade alırım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
13,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
14,Havale ücreti neden kesildi?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
15,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
16,"Kredi kartım kayboldu, ne yapmalıyım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
17,Dijital bankacılık uygulamanızda bir hata alıyorum.,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
18,Hesap bakiyemi yanlış görüyorum.,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
